Using device: cuda
Simulated 30 sphere trials: time=600, neurons=300
Geodesic Model Parameters: 21063
Free Dynamics Model Parameters: 53734

Epoch 000 | NLL Sum: 9760638.00
Epoch 010 | NLL Sum: 6776660.50
Epoch 020 | NLL Sum: 5775834.50
Epoch 030 | NLL Sum: 5394895.50
Epoch 040 | NLL Sum: 5222223.50
Epoch 050 | NLL Sum: 5142291.50
Epoch 060 | NLL Sum: 5108111.50
Epoch 070 | NLL Sum: 5087070.50
Epoch 080 | NLL Sum: 5065995.00
Epoch 090 | NLL Sum: 5048540.00
Epoch 100 | NLL Sum: 5022367.50
Epoch 110 | NLL Sum: 4991795.50
Epoch 120 | NLL Sum: 4963369.50
Epoch 130 | NLL Sum: 4940945.00
Epoch 140 | NLL Sum: 4924149.50
Epoch 150 | NLL Sum: 4908155.00
Epoch 160 | NLL Sum: 4898995.00
Epoch 170 | NLL Sum: 4885502.50
Epoch 180 | NLL Sum: 4872188.00
Epoch 190 | NLL Sum: 4862732.00
Epoch 200 | NLL Sum: 4855066.50
Epoch 210 | NLL Sum: 4848230.50
Epoch 220 | NLL Sum: 4843152.50
Epoch 230 | NLL Sum: 4837265.00
Epoch 240 | NLL Sum: 4833748.00
Epoch 250 | NLL Sum: 4827736.50
Epoch 260 | NLL Sum: 4824905.50
Epoch 270 | NLL Sum: 4819481.00
Epoch 280 | NLL Sum: 4816053.50
Epoch 290 | NLL Sum: 4812163.00
Epoch 300 | NLL Sum: 4809897.50
Epoch 310 | NLL Sum: 4804879.00
Epoch 320 | NLL Sum: 4802421.00
Epoch 330 | NLL Sum: 4798593.00
Epoch 340 | NLL Sum: 4795698.50
Epoch 350 | NLL Sum: 4792385.00
Epoch 360 | NLL Sum: 4790550.00
Epoch 370 | NLL Sum: 4786202.00
Epoch 380 | NLL Sum: 4783473.50
Epoch 390 | NLL Sum: 4779850.00
Epoch 400 | NLL Sum: 4777984.50
Epoch 410 | NLL Sum: 4772927.00
Epoch 420 | NLL Sum: 4772281.00
Epoch 430 | NLL Sum: 4767360.00
Epoch 440 | NLL Sum: 4765057.00
Epoch 450 | NLL Sum: 4760613.50
Epoch 460 | NLL Sum: 4759427.50
Epoch 470 | NLL Sum: 4754761.50
Epoch 480 | NLL Sum: 4752797.00
Epoch 490 | NLL Sum: 4748471.00
Epoch 500 | NLL Sum: 4746939.50
Epoch 510 | NLL Sum: 4741492.00
Epoch 520 | NLL Sum: 4739839.00
Epoch 530 | NLL Sum: 4733797.50
Epoch 540 | NLL Sum: 4731019.00
Epoch 550 | NLL Sum: 4727430.50
Epoch 560 | NLL Sum: 4725386.00
Epoch 570 | NLL Sum: 4720782.50
Epoch 580 | NLL Sum: 4718617.00
Epoch 590 | NLL Sum: 4714016.50
Epoch 600 | NLL Sum: 4710566.50
