Running script: v6_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\src\config.txt
Device: cuda
PCA disabled → using raw ROI with N=375
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=375
[001] train loss 2.36960 | recon 2.36856 | kl 0.76397 | smooth 1.00526 | trans 0.05479 | lle 0.00048 | beta 0.001
      valid loss 6.85139 | recon 6.85015 | kl 0.03545 | smooth 0.99714 | trans 0.09426 | lle 0.00008 | R² -0.0021
[002] train loss 2.17316 | recon 2.16932 | kl 2.47413 | smooth 0.99508 | trans 0.05431 | lle 0.00048 | beta 0.001
      valid loss 6.84751 | recon 6.84640 | kl 0.02769 | smooth 0.98366 | trans 0.09426 | lle 0.00008 | R² -0.0015
[003] train loss 2.02792 | recon 2.01954 | kl 3.91179 | smooth 0.97819 | trans 0.05471 | lle 0.00048 | beta 0.002
      valid loss 6.85098 | recon 6.84196 | kl 0.42178 | smooth 0.98261 | trans 0.09426 | lle 0.00008 | R² -0.0009
[004] train loss 1.84354 | recon 1.82197 | kl 7.87687 | smooth 0.97720 | trans 0.05454 | lle 0.00047 | beta 0.003
      valid loss 6.85004 | recon 6.84429 | kl 0.25656 | smooth 0.98088 | trans 0.09426 | lle 0.00008 | R² -0.0012
[005] train loss 1.68394 | recon 1.65758 | kl 7.73071 | smooth 0.97666 | trans 0.05422 | lle 0.00053 | beta 0.003
      valid loss 6.82546 | recon 6.82036 | kl 0.22261 | smooth 0.98084 | trans 0.09426 | lle 0.00008 | R² 0.0023
[006] train loss 1.62746 | recon 1.60381 | kl 5.76132 | smooth 0.98195 | trans 0.05463 | lle 0.00044 | beta 0.004
      valid loss 6.86854 | recon 6.86491 | kl 0.14659 | smooth 1.01994 | trans 0.09427 | lle 0.00009 | R² -0.0042
[007] train loss 1.60627 | recon 1.58413 | kl 4.60881 | smooth 1.00659 | trans 0.05506 | lle 0.00048 | beta 0.005
      valid loss 6.84225 | recon 6.83452 | kl 0.34972 | smooth 1.03490 | trans 0.09427 | lle 0.00008 | R² 0.0002
[008] train loss 1.57759 | recon 1.55569 | kl 3.98204 | smooth 1.02043 | trans 0.05506 | lle 0.00055 | beta 0.005
      valid loss 6.83567 | recon 6.82496 | kl 0.49704 | smooth 1.04243 | trans 0.09426 | lle 0.00009 | R² 0.0016
[009] train loss 1.54251 | recon 1.51712 | kl 4.11589 | smooth 1.04528 | trans 0.05427 | lle 0.00052 | beta 0.006
